fecha,tipo_cambio_venta
2026-03-16,3.7157
2026-03-17,3.7159
2026-03-18,3.7236
2026-03-19,3.7244
2026-03-20,3.7252
2026-03-23,3.7234
2026-03-24,3.7262
2026-03-25,3.7268
2026-03-26,3.7231
2026-03-27,3.7243
2026-03-30,3.717
2026-03-31,3.708
2026-04-01,3.7056
2026-04-02,3.7083
2026-04-03,3.7158
2026-04-06,3.7135
2026-04-07,3.7173
2026-04-08,3.7241
2026-04-09,3.7235
2026-04-10,3.7311
2026-04-13,3.7336
2026-04-14,3.739
2026-04-15,3.7448
2026-04-16,3.747
2026-04-17,3.7474
2026-04-20,3.7368
2026-04-21,3.7303
2026-04-22,3.7252
2026-04-23,3.7332
2026-04-24,3.7298
2026-04-27,3.7233
2026-04-28,3.7111
2026-04-29,3.7198
2026-04-30,3.7087
2026-05-01,3.7083
2026-05-04,3.7108
2026-05-05,3.7069
2026-05-06,3.7128
2026-05-07,3.7052
2026-05-08,3.7052
2026-05-11,3.7041
2026-05-12,3.7014
2026-05-13,3.7052
2026-05-14,3.7115
2026-05-15,3.712
2026-05-18,3.7182
2026-05-19,3.7162
2026-05-20,3.7139
2026-05-21,3.7071
2026-05-22,3.7202
2026-05-25,3.744
2026-05-26,3.7416
2026-05-27,3.7497
2026-05-28,3.752
2026-05-29,3.7501
2026-06-01,3.7484
2026-06-02,3.7546
2026-06-03,3.7537
2026-06-04,3.7472
2026-06-05,3.7493
2026-06-08,3.7485
2026-06-09,3.7504
2026-06-10,3.7602
2026-06-11,3.7747
2026-06-12,3.7752
2026-06-15,3.7716
2026-06-16,3.7742
2026-06-17,3.7674
2026-06-18,3.7619
2026-06-19,3.7584
2026-06-22,3.7601
2026-06-23,3.757
2026-06-24,3.7533
2026-06-25,3.7524
2026-06-26,3.7485
2026-06-29,3.7449
2026-06-30,3.7422
2026-07-01,3.7344
2026-07-02,3.7309
2026-07-03,3.7253
2026-07-06,3.7271
2026-07-07,3.7262
2026-07-08,3.7386
2026-07-09,3.7288
2026-07-10,3.7324
2026-07-13,3.7285
2026-07-14,3.7341
2026-07-15,3.7355
2026-07-16,3.7334
2026-07-17,3.7219
2026-07-20,3.7184
2026-07-21,3.7232
2026-07-22,3.7233
2026-07-23,3.7217
2026-07-24,3.7333
2026-07-27,3.7359
2026-07-28,3.7368
2026-07-29,3.7314
2026-07-30,3.7334
2026-07-31,3.7383
2026-08-03,3.7316
2026-08-04,3.7409
2026-08-05,3.7372
2026-08-06,3.743
2026-08-07,3.7405
2026-08-10,3.7375
2026-08-11,3.7354
2026-08-12,3.7348
2026-08-13,3.7316
2026-08-14,3.7266
2026-08-17,3.7286
2026-08-18,3.7196
2026-08-19,3.7145
2026-08-20,3.7065
2026-08-21,3.7076
2026-08-24,3.7001
2026-08-25,3.6969
2026-08-26,3.7025
2026-08-27,3.713
2026-08-28,3.7051
2026-08-31,3.7053
