region,canal,metodo_pago,ticket,dias_entrega,satisfaccion
Lima,App,Billetera digital,119.29,3.0,4.0
Sur,App,Tarjeta,120.62,3.0,3.0
Lima,Web,Tarjeta,105.22,2.0,4.0
Lima,Web,Tarjeta,171.06,3.0,4.0
Sur,App,Billetera digital,237.55,5.0,5.0
Lima,Web,Billetera digital,99.45,1.0,4.0
Norte,Web,Billetera digital,71.36,2.0,5.0
Norte,Web,Billetera digital,122.79,2.0,5.0
Lima,App,Contra entrega,91.0,2.0,3.0
Sur,Web,Billetera digital,84.6,3.0,3.0
Norte,App,Tarjeta,36.51,3.0,4.0
Norte,App,Billetera digital,218.39,3.0,3.0
Lima,Web,Billetera digital,43.2,3.0,3.0
Lima,Web,Billetera digital,52.64,2.0,4.0
Norte,Web,Billetera digital,192.14,4.0,3.0
Norte,App,Tarjeta,199.38,3.0,5.0
Sur,App,Contra entrega,63.65,2.0,5.0
Norte,App,Billetera digital,79.09,5.0,4.0
Lima,App,Tarjeta,120.72,2.0,2.0
Lima,App,Tarjeta,604.86,3.0,4.0
Sur,Web,Billetera digital,203.01,4.0,5.0
Norte,Web,Contra entrega,199.22,3.0,4.0
Lima,App,Billetera digital,94.18,2.0,4.0
Norte,App,Contra entrega,199.8,4.0,4.0
Lima,App,Billetera digital,209.86,3.0,3.0
Centro,App,Tarjeta,70.32,3.0,4.0
Oriente,App,Tarjeta,176.2,2.0,3.0
Lima,Web,Contra entrega,350.11,2.0,4.0
Lima,Web,Tarjeta,133.44,2.0,4.0
Sur,Web,Tarjeta,71.96,3.0,4.0
Lima,Web,Billetera digital,71.79,3.0,5.0
Norte,App,Contra entrega,136.4,4.0,4.0
Lima,Web,Contra entrega,192.23,2.0,5.0
Sur,App,Tarjeta,52.83,2.0,4.0
Oriente,Web,Contra entrega,66.04,3.0,4.0
Centro,Web,Billetera digital,70.11,5.0,4.0
Norte,Web,Contra entrega,99.71,6.0,3.0
Lima,App,Billetera digital,136.97,1.0,5.0
Oriente,Web,Tarjeta,137.14,3.0,4.0
Lima,Web,Tarjeta,106.73,3.0,3.0
Lima,Web,Billetera digital,51.15,2.0,4.0
Lima,App,Tarjeta,139.75,3.0,5.0
Sur,App,Contra entrega,70.66,2.0,4.0
Norte,Web,Billetera digital,99.95,3.0,5.0
Lima,App,Billetera digital,150.3,1.0,5.0
Lima,Web,Tarjeta,201.79,1.0,5.0
Norte,App,Tarjeta,57.64,3.0,4.0
Norte,App,Tarjeta,315.92,2.0,5.0
Norte,App,Billetera digital,85.08,1.0,5.0
Norte,App,Tarjeta,73.47,3.0,4.0
Centro,App,Billetera digital,79.86,3.0,4.0
Centro,Web,Billetera digital,2674.84,2.0,4.0
Lima,App,Billetera digital,213.99,3.0,5.0
Oriente,App,Billetera digital,88.5,2.0,4.0
Sur,App,Billetera digital,123.84,4.0,2.0
Norte,App,Billetera digital,346.69,2.0,3.0
Sur,Web,Tarjeta,382.19,5.0,3.0
Norte,Web,Tarjeta,147.4,4.0,5.0
Centro,Web,Billetera digital,129.73,2.0,5.0
Lima,App,Tarjeta,210.87,3.0,3.0
Norte,Web,Tarjeta,119.14,5.0,3.0
Sur,Web,Contra entrega,277.13,3.0,3.0
Lima,App,Contra entrega,166.53,1.0,4.0
Norte,App,Tarjeta,92.49,1.0,5.0
Lima,Web,Tarjeta,163.57,4.0,4.0
Sur,Web,Tarjeta,361.0,4.0,5.0
Lima,Web,Billetera digital,218.94,3.0,4.0
Norte,Web,Tarjeta,131.3,3.0,4.0
Centro,Web,Billetera digital,210.05,5.0,4.0
Norte,Web,Billetera digital,195.65,2.0,4.0
Lima,Web,Tarjeta,137.03,2.0,4.0
Sur,Web,Tarjeta,107.06,1.0,5.0
Lima,App,Tarjeta,155.56,1.0,5.0
Sur,App,Billetera digital,217.77,4.0,3.0
Lima,Web,Tarjeta,130.0,2.0,4.0
Lima,Web,Billetera digital,193.82,2.0,4.0
Lima,App,Billetera digital,184.86,1.0,5.0
Lima,Web,Billetera digital,65.92,1.0,4.0
Norte,Web,Billetera digital,68.61,3.0,5.0
Lima,App,Billetera digital,113.77,2.0,4.0
Norte,Web,Contra entrega,119.1,2.0,4.0
Sur,Web,Billetera digital,95.83,2.0,5.0
Centro,App,Tarjeta,91.81,5.0,4.0
Lima,Web,Tarjeta,176.27,1.0,3.0
Lima,Web,Tarjeta,160.25,2.0,3.0
Lima,Web,Tarjeta,136.37,2.0,5.0
Lima,Web,Billetera digital,210.4,2.0,3.0
Sur,Web,Tarjeta,189.24,1.0,5.0
Sur,Web,Billetera digital,50.87,2.0,5.0
Norte,Web,Tarjeta,241.02,2.0,4.0
Norte,Web,Tarjeta,169.36,2.0,5.0
Oriente,Web,Billetera digital,162.16,6.0,3.0
Sur,Web,Tarjeta,271.1,3.0,3.0
Sur,App,Contra entrega,123.51,1.0,5.0
Centro,Web,Contra entrega,120.6,2.0,5.0
Lima,App,Billetera digital,173.35,2.0,4.0
Sur,Web,Tarjeta,79.65,3.0,4.0
Sur,Web,Billetera digital,154.46,5.0,3.0
Centro,App,Contra entrega,60.69,6.0,4.0
Lima,App,Contra entrega,166.18,1.0,3.0
Sur,Web,Tarjeta,72.49,4.0,4.0
Norte,App,Tarjeta,84.98,2.0,5.0
Lima,Web,Billetera digital,101.19,1.0,4.0
Lima,App,Billetera digital,100.92,1.0,5.0
Lima,App,Tarjeta,248.43,2.0,4.0
Oriente,Web,Contra entrega,97.1,2.0,3.0
Lima,Web,Contra entrega,722.75,2.0,4.0
Lima,App,Tarjeta,124.97,1.0,5.0
Lima,Web,Tarjeta,58.45,1.0,5.0
Lima,Web,Billetera digital,211.98,1.0,5.0
Lima,App,Billetera digital,115.54,2.0,5.0
Centro,App,Contra entrega,210.68,4.0,5.0
Lima,App,Billetera digital,354.57,4.0,4.0
Norte,App,Tarjeta,357.44,3.0,4.0
Lima,App,Billetera digital,273.17,2.0,5.0
Sur,App,Billetera digital,93.53,3.0,4.0
Lima,Web,Billetera digital,146.23,1.0,4.0
Sur,Web,Contra entrega,117.23,6.0,4.0
Lima,App,Contra entrega,170.91,3.0,4.0
Lima,Web,Tarjeta,210.34,2.0,5.0
Sur,App,Tarjeta,130.86,1.0,4.0
Norte,Web,Tarjeta,271.89,3.0,4.0
Lima,Web,Tarjeta,137.17,1.0,5.0
Lima,App,Billetera digital,392.79,2.0,4.0
Sur,Web,Billetera digital,155.31,3.0,4.0
Lima,App,Billetera digital,206.05,1.0,4.0
Lima,App,Tarjeta,169.3,1.0,4.0
Oriente,Web,Tarjeta,75.58,2.0,4.0
Lima,Web,Contra entrega,179.21,1.0,5.0
Lima,App,Tarjeta,296.36,1.0,5.0
Norte,Web,Billetera digital,63.84,1.0,5.0
Lima,Web,Tarjeta,227.03,3.0,3.0
Lima,App,Tarjeta,145.35,1.0,5.0
Norte,Web,Billetera digital,65.87,2.0,5.0
Oriente,App,Contra entrega,115.17,1.0,5.0
Oriente,App,Tarjeta,156.33,7.0,4.0
Lima,App,Billetera digital,208.02,1.0,5.0
Centro,Web,Billetera digital,93.64,6.0,2.0
Lima,App,Billetera digital,165.56,1.0,5.0
Sur,App,Billetera digital,64.92,4.0,4.0
Lima,Web,Contra entrega,107.88,2.0,3.0
Sur,Web,Contra entrega,212.43,5.0,4.0
Sur,Web,Tarjeta,154.17,2.0,4.0
Centro,Web,Contra entrega,243.32,7.0,3.0
Oriente,Web,Contra entrega,133.92,2.0,3.0
Lima,Web,Billetera digital,76.12,1.0,5.0
Norte,Web,Billetera digital,91.11,2.0,3.0
Sur,App,Tarjeta,178.88,4.0,
Lima,Web,Tarjeta,160.61,3.0,4.0
Sur,Web,Tarjeta,106.49,8.0,3.0
Lima,App,Tarjeta,85.29,2.0,4.0
Lima,Web,Contra entrega,95.6,2.0,5.0
Norte,Web,Tarjeta,288.71,5.0,3.0
Norte,Web,Tarjeta,77.51,6.0,4.0
Norte,Web,Billetera digital,105.61,3.0,5.0
Norte,Web,Billetera digital,294.28,1.0,5.0
Norte,Web,Billetera digital,96.87,4.0,4.0
Centro,Web,Billetera digital,164.2,2.0,5.0
Lima,Web,Tarjeta,380.98,1.0,5.0
Lima,Web,Tarjeta,80.39,1.0,5.0
Lima,App,Tarjeta,107.6,3.0,5.0
Sur,Web,Tarjeta,73.37,3.0,3.0
Sur,App,Contra entrega,217.54,2.0,4.0
Lima,App,Contra entrega,102.04,1.0,5.0
Sur,App,Contra entrega,140.43,5.0,4.0
Sur,Web,Contra entrega,110.99,3.0,2.0
Sur,Web,Tarjeta,137.75,3.0,5.0
Lima,App,Tarjeta,137.08,1.0,4.0
Lima,App,Tarjeta,407.84,4.0,4.0
Centro,App,Billetera digital,198.29,6.0,3.0
Centro,App,Billetera digital,167.05,5.0,3.0
Lima,App,Billetera digital,249.1,2.0,5.0
Norte,App,Billetera digital,44.13,3.0,4.0
Lima,App,Billetera digital,51.29,4.0,
Lima,App,Tarjeta,145.01,2.0,5.0
Lima,App,Tarjeta,71.18,1.0,3.0
Lima,Web,Contra entrega,153.05,1.0,4.0
Lima,App,Tarjeta,65.75,3.0,5.0
Centro,Web,Billetera digital,90.39,2.0,5.0
Norte,Web,Billetera digital,74.38,1.0,5.0
Lima,App,Billetera digital,44.25,1.0,4.0
Lima,App,Billetera digital,65.25,2.0,4.0
Norte,App,Tarjeta,243.53,2.0,5.0
Norte,App,Contra entrega,65.18,2.0,4.0
Norte,Web,Tarjeta,67.68,3.0,3.0
Lima,Web,Tarjeta,346.73,2.0,5.0
Lima,Web,Tarjeta,103.7,6.0,5.0
Norte,App,Tarjeta,196.36,1.0,5.0
Oriente,App,Contra entrega,170.07,7.0,3.0
Norte,App,Contra entrega,233.06,3.0,
Centro,Web,Tarjeta,56.14,3.0,5.0
Lima,Web,Tarjeta,60.11,2.0,5.0
Lima,Web,Billetera digital,176.3,4.0,4.0
Centro,Web,Contra entrega,171.98,6.0,4.0
Norte,Web,Contra entrega,116.0,2.0,4.0
Norte,Web,Tarjeta,185.01,2.0,4.0
Lima,Web,Billetera digital,465.17,3.0,5.0
Lima,App,Billetera digital,135.26,1.0,5.0
Sur,App,Billetera digital,130.8,5.0,4.0
Lima,App,Tarjeta,274.14,3.0,4.0
Lima,Web,Billetera digital,202.74,1.0,5.0
Sur,Web,Tarjeta,102.26,5.0,2.0
Oriente,App,Tarjeta,323.76,6.0,3.0
Oriente,App,Billetera digital,125.56,6.0,4.0
Norte,Web,Billetera digital,155.48,4.0,3.0
Lima,Web,Billetera digital,186.41,2.0,4.0
Lima,Web,Contra entrega,219.87,3.0,5.0
Norte,Web,Tarjeta,142.82,4.0,4.0
Lima,Web,Tarjeta,141.81,2.0,5.0
Lima,App,Billetera digital,122.23,2.0,5.0
Lima,App,Tarjeta,68.46,2.0,5.0
Oriente,App,Billetera digital,124.11,5.0,3.0
Lima,App,Tarjeta,150.22,5.0,3.0
Lima,App,Contra entrega,109.09,1.0,5.0
Centro,Web,Contra entrega,196.81,3.0,4.0
Norte,Web,Tarjeta,135.79,3.0,4.0
Sur,Web,Tarjeta,245.28,5.0,3.0
Lima,Web,Tarjeta,231.38,1.0,4.0
Oriente,Web,Contra entrega,272.97,4.0,4.0
Oriente,App,Billetera digital,121.33,2.0,5.0
Norte,App,Tarjeta,118.11,1.0,4.0
Oriente,Web,Billetera digital,136.05,3.0,5.0
Norte,Web,Contra entrega,294.01,2.0,5.0
Lima,Web,Billetera digital,180.69,6.0,4.0
Sur,Web,Tarjeta,90.08,7.0,3.0
Norte,Web,Contra entrega,113.48,2.0,4.0
Lima,Web,Billetera digital,296.9,2.0,4.0
Norte,Web,Billetera digital,105.33,3.0,5.0
Lima,App,Tarjeta,191.65,2.0,5.0
Centro,Web,Contra entrega,67.41,5.0,4.0
Norte,Web,Tarjeta,294.4,4.0,4.0
Lima,Web,Billetera digital,228.54,3.0,2.0
Oriente,Web,Billetera digital,42.45,11.0,2.0
Oriente,Web,Tarjeta,94.05,6.0,4.0
Sur,App,Tarjeta,114.7,5.0,2.0
Lima,App,Tarjeta,75.3,2.0,4.0
Norte,App,Billetera digital,303.33,4.0,4.0
Lima,App,Billetera digital,98.86,3.0,5.0
Lima,App,Tarjeta,204.87,1.0,3.0
Lima,App,Contra entrega,89.45,1.0,4.0
Lima,App,Billetera digital,173.63,1.0,4.0
Sur,Web,Tarjeta,338.05,8.0,3.0
Lima,App,Contra entrega,237.44,1.0,4.0
Lima,App,Tarjeta,154.03,1.0,4.0
Sur,Web,Billetera digital,111.48,4.0,4.0
Centro,Web,Contra entrega,50.37,4.0,3.0
Centro,Web,Tarjeta,128.05,3.0,5.0
Sur,App,Tarjeta,63.0,5.0,4.0
Oriente,Web,Billetera digital,104.91,4.0,4.0
Norte,Web,Billetera digital,196.83,3.0,3.0
Sur,Web,Billetera digital,181.45,6.0,2.0
Lima,Web,Billetera digital,147.06,2.0,4.0
Lima,Web,Tarjeta,208.96,3.0,5.0
Centro,Web,Contra entrega,172.3,1.0,4.0
Lima,App,Billetera digital,88.49,1.0,4.0
Sur,App,Billetera digital,143.13,2.0,4.0
Norte,Web,Billetera digital,66.51,2.0,5.0
Lima,Web,Billetera digital,327.29,3.0,3.0
Lima,Web,Billetera digital,62.59,1.0,4.0
Norte,App,Tarjeta,263.0,2.0,5.0
Sur,App,Billetera digital,244.27,4.0,5.0
Sur,Web,Billetera digital,274.38,5.0,4.0
Lima,Web,Tarjeta,80.32,1.0,4.0
Lima,Web,Tarjeta,336.05,2.0,4.0
Norte,Web,Tarjeta,221.23,1.0,5.0
Lima,Web,Tarjeta,62.94,3.0,5.0
Lima,Web,Billetera digital,85.98,1.0,4.0
Norte,App,Contra entrega,22.83,7.0,5.0
Lima,Web,Contra entrega,117.58,2.0,4.0
Norte,App,Tarjeta,107.54,2.0,3.0
Lima,App,Billetera digital,200.28,1.0,4.0
Lima,Web,Tarjeta,115.04,2.0,3.0
Centro,App,Tarjeta,277.07,1.0,4.0
Norte,App,Tarjeta,223.34,7.0,3.0
Centro,Web,Billetera digital,59.29,1.0,5.0
Centro,App,Tarjeta,208.16,6.0,3.0
Lima,Web,Billetera digital,99.48,4.0,3.0
Lima,App,Tarjeta,124.71,1.0,4.0
Norte,Web,Contra entrega,113.09,1.0,5.0
Lima,Web,Tarjeta,132.43,1.0,5.0
Lima,Web,Contra entrega,190.35,4.0,5.0
Centro,App,Contra entrega,195.6,1.0,5.0
Centro,Web,Billetera digital,25.96,5.0,2.0
Lima,App,Tarjeta,207.92,1.0,4.0
Sur,Web,Contra entrega,161.91,5.0,4.0
Norte,App,Billetera digital,134.49,4.0,5.0
Sur,Web,Tarjeta,151.83,4.0,4.0
Lima,Web,Billetera digital,406.97,3.0,4.0
Norte,App,Tarjeta,168.22,6.0,4.0
Centro,App,Billetera digital,137.18,4.0,3.0
Sur,Web,Billetera digital,86.43,2.0,4.0
Lima,Web,Contra entrega,146.53,2.0,5.0
Centro,Web,Billetera digital,67.67,2.0,4.0
Lima,Web,Tarjeta,155.5,2.0,4.0
Sur,Web,Tarjeta,64.93,1.0,4.0
Sur,App,Billetera digital,93.4,8.0,3.0
Lima,Web,Tarjeta,47.91,1.0,5.0
Centro,App,Contra entrega,20.88,3.0,4.0
Norte,Web,Contra entrega,148.81,4.0,4.0
Oriente,Web,Billetera digital,56.05,9.0,3.0
Oriente,Web,Billetera digital,88.59,9.0,4.0
Centro,Web,Tarjeta,171.19,3.0,4.0
Centro,App,Billetera digital,61.42,4.0,4.0
Lima,App,Billetera digital,197.48,1.0,5.0
Norte,Web,Tarjeta,145.61,2.0,4.0
Sur,App,Billetera digital,84.2,4.0,4.0
Norte,App,Billetera digital,172.14,3.0,4.0
Norte,App,Billetera digital,70.68,5.0,3.0
Lima,Web,Tarjeta,26.62,1.0,4.0
Lima,Web,Tarjeta,121.6,2.0,4.0
Sur,App,Tarjeta,195.24,2.0,4.0
Lima,Web,Tarjeta,76.09,1.0,4.0
Sur,App,Billetera digital,153.27,3.0,4.0
Lima,App,Tarjeta,87.41,1.0,4.0
Lima,Web,Billetera digital,102.33,3.0,2.0
Lima,Web,Billetera digital,72.15,1.0,2.0
Sur,Web,Tarjeta,239.32,2.0,5.0
Lima,Web,Tarjeta,165.53,2.0,3.0
Norte,App,Tarjeta,133.58,3.0,5.0
Lima,App,Tarjeta,74.13,3.0,3.0
Norte,Web,Tarjeta,43.94,3.0,5.0
Sur,Web,Contra entrega,206.16,1.0,3.0
Lima,App,Billetera digital,166.78,1.0,5.0
Sur,App,Tarjeta,119.02,4.0,3.0
Sur,App,Tarjeta,79.28,2.0,5.0
Oriente,App,Billetera digital,158.61,6.0,2.0
Lima,Web,Tarjeta,126.69,3.0,5.0
Centro,App,Contra entrega,127.75,6.0,3.0
Lima,Web,Tarjeta,73.36,2.0,4.0
Oriente,App,Billetera digital,143.3,3.0,5.0
Lima,App,Billetera digital,272.63,1.0,5.0
Lima,Web,Billetera digital,132.39,2.0,4.0
Lima,Web,Billetera digital,127.1,3.0,4.0
Centro,Web,Tarjeta,117.89,5.0,3.0
Norte,App,Tarjeta,253.82,2.0,4.0
Oriente,App,Contra entrega,93.37,3.0,5.0
Lima,App,Tarjeta,226.25,1.0,5.0
Centro,App,Contra entrega,377.65,1.0,5.0
Lima,App,Billetera digital,287.24,3.0,4.0
Lima,Web,Tarjeta,98.93,2.0,3.0
Sur,Web,Tarjeta,65.14,4.0,3.0
Lima,App,Tarjeta,203.11,3.0,5.0
Norte,App,Tarjeta,228.57,1.0,4.0
Norte,App,Contra entrega,120.31,3.0,3.0
Lima,Web,Billetera digital,56.59,2.0,3.0
Lima,App,Tarjeta,97.39,2.0,
Lima,Web,Tarjeta,73.72,2.0,4.0
Lima,Web,Tarjeta,69.84,2.0,3.0
Oriente,App,Contra entrega,211.04,2.0,4.0
Norte,Web,Billetera digital,152.46,1.0,3.0
Lima,Web,Billetera digital,103.49,2.0,5.0
Sur,App,Tarjeta,124.67,1.0,4.0
Lima,App,Tarjeta,67.88,2.0,4.0
Norte,App,Tarjeta,691.04,2.0,4.0
Lima,App,Tarjeta,131.32,1.0,4.0
Norte,App,Billetera digital,74.48,4.0,4.0
Sur,Web,Billetera digital,140.23,2.0,4.0
Lima,Web,Billetera digital,78.09,2.0,2.0
Centro,Web,Billetera digital,188.96,2.0,4.0
Norte,Web,Contra entrega,110.14,2.0,4.0
Norte,Web,Billetera digital,129.4,5.0,5.0
Lima,App,Tarjeta,475.21,1.0,5.0
Lima,App,Billetera digital,220.03,2.0,3.0
Lima,Web,Billetera digital,118.03,1.0,4.0
Lima,Web,Tarjeta,200.42,2.0,5.0
Lima,Web,Billetera digital,149.38,2.0,4.0
Sur,Web,Tarjeta,108.38,3.0,5.0
Lima,App,Billetera digital,84.85,2.0,5.0
Sur,Web,Tarjeta,148.82,3.0,4.0
Lima,App,Tarjeta,150.0,1.0,5.0
Sur,App,Billetera digital,129.25,2.0,5.0
Lima,App,Tarjeta,39.59,5.0,4.0
Centro,Web,Tarjeta,166.96,11.0,3.0
Centro,Web,Contra entrega,85.92,2.0,4.0
Sur,App,Contra entrega,101.7,2.0,
Lima,App,Billetera digital,296.91,6.0,4.0
Lima,App,Tarjeta,148.92,1.0,5.0
Sur,Web,Billetera digital,124.57,1.0,4.0
Norte,App,Tarjeta,56.66,3.0,5.0
Lima,App,Tarjeta,35.39,1.0,4.0
Norte,Web,Billetera digital,141.57,6.0,5.0
Lima,Web,Tarjeta,255.45,1.0,5.0
Norte,Web,Billetera digital,197.24,3.0,3.0
Norte,App,Tarjeta,147.91,2.0,5.0
Sur,App,Tarjeta,119.42,7.0,2.0
Lima,App,Tarjeta,180.36,3.0,4.0
Lima,Web,Billetera digital,213.63,1.0,5.0
Lima,App,Contra entrega,111.18,1.0,5.0
Lima,App,Tarjeta,78.19,3.0,3.0
Oriente,App,Contra entrega,219.64,5.0,3.0
Centro,Web,Contra entrega,240.44,4.0,4.0
Norte,Web,Billetera digital,268.85,3.0,4.0
Lima,Web,Billetera digital,95.07,2.0,3.0
Lima,Web,Billetera digital,80.18,2.0,4.0
Oriente,App,Contra entrega,92.95,6.0,5.0
Lima,Web,Tarjeta,182.13,2.0,4.0
Lima,Web,Tarjeta,168.78,1.0,4.0
Sur,Web,Contra entrega,62.53,7.0,3.0
Lima,Web,Billetera digital,167.94,2.0,4.0
Lima,App,Billetera digital,317.37,1.0,4.0
Lima,Web,Tarjeta,121.77,2.0,4.0
Sur,App,Tarjeta,178.35,2.0,5.0
Norte,Web,Contra entrega,28.15,3.0,5.0
Sur,Web,Tarjeta,95.03,4.0,4.0
Norte,App,Billetera digital,70.63,5.0,3.0
Lima,Web,Billetera digital,66.23,1.0,5.0
Lima,Web,Billetera digital,92.72,2.0,5.0
Sur,App,Tarjeta,77.99,2.0,5.0
Lima,App,Billetera digital,62.01,2.0,4.0
Norte,Web,Tarjeta,53.0,4.0,
Norte,App,Billetera digital,58.57,3.0,5.0
Oriente,App,Billetera digital,76.35,6.0,4.0
Lima,App,Tarjeta,195.67,2.0,5.0
Lima,Web,Billetera digital,280.8,2.0,4.0
Sur,Web,Contra entrega,60.79,7.0,2.0
Lima,Web,Tarjeta,192.34,3.0,3.0
Lima,Web,Tarjeta,123.53,2.0,4.0
Centro,App,Contra entrega,114.61,6.0,5.0
Sur,App,Tarjeta,283.96,5.0,4.0
Lima,Web,Tarjeta,126.9,1.0,5.0
Lima,Web,Tarjeta,174.95,2.0,5.0
Centro,App,Billetera digital,252.08,2.0,5.0
Norte,App,Tarjeta,131.91,3.0,4.0
Centro,Web,Billetera digital,172.5,2.0,4.0
Norte,App,Tarjeta,162.86,2.0,4.0
Lima,App,Tarjeta,74.42,1.0,4.0
Lima,App,Billetera digital,52.57,1.0,4.0
Lima,Web,Billetera digital,312.5,3.0,5.0
Sur,Web,Tarjeta,214.99,3.0,4.0
Lima,Web,Billetera digital,293.0,3.0,4.0
Lima,Web,Billetera digital,66.26,2.0,5.0
Lima,App,Tarjeta,71.82,1.0,5.0
Sur,Web,Billetera digital,112.94,6.0,4.0
Lima,App,Tarjeta,99.85,3.0,5.0
Centro,App,Tarjeta,242.57,4.0,3.0
Lima,App,Tarjeta,163.74,3.0,4.0
Centro,Web,Contra entrega,116.91,3.0,4.0
Centro,Web,Tarjeta,39.12,3.0,5.0
Centro,App,Contra entrega,215.78,2.0,3.0
Lima,App,Billetera digital,155.95,2.0,4.0
Centro,Web,Tarjeta,100.76,4.0,3.0
Lima,App,Billetera digital,132.34,2.0,3.0
Lima,Web,Billetera digital,71.19,2.0,3.0
Lima,App,Contra entrega,135.41,7.0,3.0
Norte,Web,Billetera digital,211.27,1.0,5.0
Lima,Web,Tarjeta,271.79,3.0,5.0
Oriente,Web,Tarjeta,80.57,4.0,3.0
Lima,Web,Tarjeta,205.75,1.0,5.0
Norte,App,Tarjeta,237.21,2.0,5.0
Centro,Web,Contra entrega,207.81,10.0,3.0
Lima,Web,Tarjeta,145.98,1.0,5.0
Norte,App,Tarjeta,394.33,3.0,4.0
Norte,App,Billetera digital,286.09,4.0,3.0
Sur,Web,Tarjeta,364.44,2.0,5.0
Sur,Web,Billetera digital,80.79,2.0,4.0
Centro,App,Billetera digital,117.58,2.0,4.0
Sur,App,Contra entrega,100.52,1.0,4.0
Norte,Web,Tarjeta,41.05,3.0,5.0
Lima,App,Contra entrega,274.66,4.0,3.0
Lima,App,Tarjeta,221.42,3.0,4.0
Lima,Web,Tarjeta,95.11,3.0,3.0
Centro,App,Contra entrega,60.02,3.0,4.0
Lima,Web,Billetera digital,226.41,2.0,4.0
Centro,App,Billetera digital,201.26,4.0,5.0
Lima,Web,Billetera digital,284.28,3.0,4.0
Lima,Web,Billetera digital,231.51,2.0,5.0
Lima,App,Tarjeta,241.76,2.0,5.0
Lima,App,Billetera digital,147.62,5.0,3.0
Lima,Web,Tarjeta,168.9,4.0,2.0
Lima,App,Billetera digital,245.18,1.0,3.0
Sur,App,Contra entrega,135.92,2.0,
Lima,App,Tarjeta,70.62,2.0,4.0
Norte,Web,Tarjeta,147.75,1.0,5.0
Oriente,App,Billetera digital,430.45,3.0,4.0
Lima,App,Billetera digital,100.72,2.0,3.0
Norte,App,Tarjeta,134.1,2.0,5.0
Oriente,Web,Billetera digital,104.0,7.0,4.0
Norte,App,Billetera digital,133.0,1.0,4.0
Norte,Web,Contra entrega,86.29,2.0,4.0
Norte,Web,Tarjeta,140.43,5.0,4.0
Lima,App,Billetera digital,568.25,2.0,5.0
Sur,App,Billetera digital,130.22,1.0,5.0
Centro,Web,Tarjeta,144.08,6.0,4.0
Centro,App,Tarjeta,166.1,6.0,3.0
Norte,App,Contra entrega,284.3,5.0,5.0
Lima,App,Tarjeta,440.5,1.0,5.0
Sur,Web,Billetera digital,306.95,4.0,5.0
Oriente,App,Billetera digital,98.08,12.0,2.0
Oriente,Web,Tarjeta,221.17,4.0,4.0
Lima,Web,Tarjeta,290.9,2.0,5.0
Oriente,App,Billetera digital,225.66,4.0,4.0
Sur,Web,Billetera digital,181.04,5.0,5.0
Centro,App,Tarjeta,91.93,2.0,5.0
Lima,Web,Billetera digital,86.99,1.0,5.0
Oriente,Web,Contra entrega,86.34,2.0,4.0
Sur,App,Billetera digital,258.06,6.0,4.0
Lima,Web,Tarjeta,343.16,2.0,3.0
Norte,App,Billetera digital,115.13,2.0,4.0
Lima,Web,Contra entrega,90.96,1.0,5.0
Sur,App,Billetera digital,85.51,3.0,4.0
Norte,App,Billetera digital,56.37,2.0,3.0
Norte,App,Tarjeta,67.98,3.0,4.0
Centro,Web,Billetera digital,88.7,6.0,3.0
Sur,Web,Billetera digital,216.88,6.0,4.0
Lima,Web,Contra entrega,219.75,1.0,5.0
Sur,App,Tarjeta,45.21,4.0,5.0
