usuario_id,fecha,variante,dispositivo,gasto_previo_30d,convirtio,monto_compra
U100050,2026-08-19,A,Android,60.25,0,
U100051,2026-08-17,B,Android,137.51,0,
U100052,2026-08-23,A,Android,38.34,0,
U100053,2026-08-18,A,Android,165.31,0,
U100054,2026-08-16,A,Android,142.5,0,
U100055,2026-08-22,A,Android,126.7,0,
U100056,2026-08-08,B,Desktop,40.58,0,
U100057,2026-08-13,B,Desktop,25.85,0,
U100058,2026-08-15,A,Desktop,42.5,0,
U100059,2026-08-04,A,Desktop,433.78,0,
U100060,2026-08-17,A,Desktop,114.9,0,
U100061,2026-08-22,A,iOS,383.78,0,
U100062,2026-08-05,A,Android,115.28,0,
U100063,2026-08-13,A,Android,79.36,0,
U100064,2026-08-13,A,iOS,109.0,0,
U100065,2026-08-05,A,Android,78.87,0,
U100066,2026-08-10,B,Desktop,35.46,0,
U100067,2026-08-18,B,Android,131.84,0,
U100068,2026-08-15,B,Android,332.17,0,
U100069,2026-08-12,B,Desktop,124.3,0,
U100070,2026-08-21,B,Desktop,53.59,0,
U100071,2026-08-19,B,Android,135.14,0,
U100072,2026-08-07,B,Android,75.65,0,
U100073,2026-08-15,B,Desktop,37.83,0,
U100074,2026-08-05,A,iOS,98.46,0,
U100075,2026-08-04,A,Desktop,76.35,1,248.4
U100076,2026-08-03,A,iOS,127.93,0,
U100077,2026-08-17,A,Desktop,163.73,0,
U100078,2026-08-10,A,Desktop,117.49,0,
U100079,2026-08-21,A,Android,118.95,1,104.33
U100080,2026-08-08,A,Desktop,97.74,0,
U100081,2026-08-07,A,Desktop,56.65,0,
U100082,2026-08-11,A,Android,145.27,1,138.64
U100083,2026-08-07,A,iOS,169.58,0,
U100084,2026-08-10,B,Android,83.56,0,
U100085,2026-08-18,A,iOS,192.5,0,
U100086,2026-08-09,B,iOS,76.59,0,
U100087,2026-08-07,A,iOS,110.99,0,
U100088,2026-08-15,B,Desktop,126.77,0,
U100089,2026-08-11,B,Android,142.74,0,
U100090,2026-08-12,A,Android,102.43,0,
U100091,2026-08-22,A,Desktop,43.37,0,
U100092,2026-08-20,B,iOS,360.82,0,
U100093,2026-08-15,B,Desktop,180.36,0,
U100094,2026-08-15,A,Desktop,58.8,0,
U100095,2026-08-12,A,Android,94.66,0,
U100096,2026-08-23,B,iOS,33.31,0,
U100097,2026-08-04,A,Desktop,110.53,0,
U100098,2026-08-14,B,Desktop,729.84,0,
U100099,2026-08-18,A,Android,321.93,1,86.67
U100100,2026-08-12,A,Desktop,61.25,0,
U100101,2026-08-08,A,Android,112.72,0,
U100102,2026-08-10,B,Android,291.04,0,
U100103,2026-08-23,A,Desktop,90.74,0,
U100104,2026-08-10,B,Android,163.55,0,
U100105,2026-08-03,B,Android,84.9,0,
U100106,2026-08-15,B,iOS,67.76,0,
U100107,2026-08-04,A,Android,116.8,0,
U100108,2026-08-09,A,Android,181.97,0,
U100109,2026-08-23,A,Android,94.15,1,209.79
U100110,2026-08-13,B,Desktop,61.23,0,
U100111,2026-08-04,B,Android,134.12,0,
U100112,2026-08-13,B,Desktop,216.49,0,
U100113,2026-08-16,B,Desktop,72.68,0,
U100114,2026-08-13,B,Android,89.09,0,
U100115,2026-08-19,B,Desktop,237.31,0,
U100116,2026-08-16,A,Desktop,146.48,0,
U100117,2026-08-17,A,Android,55.27,0,
U100118,2026-08-05,A,Desktop,140.69,1,258.21
U100119,2026-08-07,A,Desktop,47.69,0,
U100120,2026-08-07,A,iOS,54.53,0,
U100121,2026-08-20,A,Android,95.6,0,
U100122,2026-08-10,A,Desktop,201.21,0,
U100123,2026-08-19,A,Desktop,102.03,0,
U100124,2026-08-07,A,Android,92.08,0,
U100125,2026-08-21,B,Android,165.03,0,
U100126,2026-08-12,A,Desktop,620.5,0,
U100127,2026-08-15,A,Android,114.9,0,
U100128,2026-08-08,B,Android,43.28,0,
U100129,2026-08-06,B,Android,65.21,0,
U100130,2026-08-10,B,Desktop,93.58,0,
U100131,2026-08-06,A,Desktop,322.45,0,
U100132,2026-08-23,A,iOS,91.42,0,
U100133,2026-08-23,A,iOS,289.57,0,
U100134,2026-08-18,B,Desktop,120.19,1,99.4
U100135,2026-08-23,B,Android,33.07,0,
U100136,2026-08-13,A,Desktop,96.76,0,
U100137,2026-08-23,B,Android,51.73,0,
U100138,2026-08-18,B,Android,104.09,0,
U100139,2026-08-05,B,Desktop,56.04,0,
U100140,2026-08-16,A,Android,87.54,0,
U100141,2026-08-22,A,Desktop,33.34,0,
U100142,2026-08-16,B,Desktop,49.01,0,
U100143,2026-08-16,A,iOS,59.85,0,
U100144,2026-08-12,A,Android,489.56,1,98.56
U100145,2026-08-18,A,Desktop,57.26,0,
U100146,2026-08-23,A,Desktop,81.44,0,
U100147,2026-08-09,B,Android,79.61,0,
U100148,2026-08-07,A,Desktop,33.77,0,
U100149,2026-08-17,B,Desktop,151.99,0,
U100150,2026-08-18,A,iOS,56.17,0,
U100151,2026-08-18,B,Android,43.24,0,
U100152,2026-08-03,A,Android,127.93,0,
U100153,2026-08-18,A,Android,138.44,0,
U100154,2026-08-22,B,Android,101.87,0,
U100155,2026-08-07,A,Desktop,43.02,0,
U100156,2026-08-09,B,Android,24.41,0,
U100157,2026-08-14,A,Desktop,144.59,0,
U100158,2026-08-19,A,Android,70.46,1,126.78
U100159,2026-08-22,B,Desktop,64.52,0,
U100160,2026-08-22,A,Android,107.97,0,
U100161,2026-08-19,A,Android,105.09,1,49.34
U100162,2026-08-03,B,Desktop,125.01,0,
U100163,2026-08-14,A,Android,70.87,0,
U100164,2026-08-16,A,Desktop,37.3,0,
U100165,2026-08-19,B,Desktop,43.74,0,
U100166,2026-08-17,A,Android,126.06,0,
U100167,2026-08-06,B,Desktop,183.96,0,
U100168,2026-08-16,B,Android,83.31,0,
U100169,2026-08-10,B,Android,27.88,0,
U100170,2026-08-22,A,iOS,84.72,0,
U100171,2026-08-23,B,Android,66.67,0,
U100172,2026-08-14,B,Desktop,92.95,1,186.38
U100173,2026-08-15,B,Android,217.83,0,
U100174,2026-08-12,B,Android,34.28,0,
U100175,2026-08-23,B,Desktop,49.52,0,
U100176,2026-08-05,A,Desktop,191.85,1,130.73
U100177,2026-08-03,A,Desktop,177.94,0,
U100178,2026-08-07,A,iOS,262.64,0,
U100179,2026-08-17,A,Desktop,246.16,0,
U100180,2026-08-04,A,Desktop,66.88,0,
U100181,2026-08-21,B,Android,28.34,0,
U100182,2026-08-20,B,Android,366.03,0,
U100183,2026-08-11,B,Desktop,46.62,0,
U100184,2026-08-18,A,Android,47.37,0,
U100185,2026-08-23,B,Android,42.11,0,
U100186,2026-08-03,B,iOS,160.99,0,
U100187,2026-08-23,B,iOS,64.26,0,
U100188,2026-08-20,A,Desktop,96.88,1,214.03
U100189,2026-08-23,A,Desktop,159.63,0,
U100190,2026-08-17,B,Android,78.82,0,
U100191,2026-08-10,A,Android,246.9,1,82.63
U100192,2026-08-21,A,Android,13.15,0,
U100193,2026-08-12,B,iOS,137.98,0,
U100194,2026-08-15,B,Android,31.77,0,
U100195,2026-08-13,B,Android,20.67,0,
U100196,2026-08-10,A,iOS,109.76,0,
U100197,2026-08-13,B,Desktop,210.81,0,
U100198,2026-08-17,A,Android,43.28,0,
U100199,2026-08-11,B,Desktop,122.13,1,139.1
U100200,2026-08-13,B,Android,213.38,0,
U100201,2026-08-23,B,Desktop,142.6,0,
U100202,2026-08-17,B,Desktop,59.07,0,
U100203,2026-08-23,B,Desktop,76.4,0,
U100204,2026-08-07,A,Android,115.39,0,
U100205,2026-08-09,B,Android,156.09,0,
U100206,2026-08-05,B,Desktop,65.2,1,470.58
U100207,2026-08-07,A,Android,110.57,0,
U100208,2026-08-13,B,Android,131.93,0,
U100209,2026-08-10,A,Android,349.76,0,
U100210,2026-08-14,A,Android,54.77,0,
U100211,2026-08-03,A,Android,163.27,0,
U100212,2026-08-11,B,Android,83.34,0,
U100213,2026-08-09,A,Android,28.2,0,
U100214,2026-08-07,A,Android,72.9,1,192.45
U100215,2026-08-03,A,iOS,124.65,0,
U100216,2026-08-14,B,iOS,377.63,0,
U100217,2026-08-23,B,Desktop,28.2,0,
U100218,2026-08-14,A,Android,85.04,0,
U100219,2026-08-23,A,Desktop,100.61,0,
U100220,2026-08-11,B,Android,14.87,0,
U100221,2026-08-21,A,Android,26.71,0,
U100222,2026-08-04,A,Android,25.0,0,
U100223,2026-08-04,A,Desktop,127.67,0,
U100224,2026-08-08,B,Android,86.72,0,
U100225,2026-08-05,B,Android,81.36,0,
U100226,2026-08-14,A,Desktop,137.77,0,
U100227,2026-08-11,A,Android,48.34,0,
U100228,2026-08-10,B,Desktop,128.29,0,
U100229,2026-08-13,B,Android,59.98,0,
U100230,2026-08-21,A,Desktop,108.57,0,
U100231,2026-08-22,A,Android,75.34,0,
U100232,2026-08-23,A,Android,353.94,0,
U100233,2026-08-14,A,Android,95.65,0,
U100234,2026-08-17,B,Android,163.05,0,
U100235,2026-08-04,A,Desktop,115.84,0,
U100236,2026-08-22,B,Android,59.47,0,
U100237,2026-08-09,A,Desktop,38.49,0,
U100238,2026-08-20,B,Desktop,143.06,0,
U100239,2026-08-17,B,Android,169.07,0,
U100240,2026-08-11,A,Android,126.88,0,
U100241,2026-08-11,A,Android,495.43,0,
U100242,2026-08-10,A,iOS,171.25,0,
U100243,2026-08-16,A,Desktop,165.23,0,
U100244,2026-08-23,A,Android,502.33,1,89.66
U100245,2026-08-15,A,Desktop,44.56,0,
U100246,2026-08-13,B,Android,41.68,0,
U100247,2026-08-20,A,Android,113.3,0,
U100248,2026-08-16,B,Android,194.77,0,
U100249,2026-08-16,A,iOS,234.83,0,
U100250,2026-08-20,A,Desktop,120.22,0,
U100251,2026-08-03,A,Desktop,64.11,0,
U100252,2026-08-09,B,Android,53.76,0,
U100253,2026-08-13,B,Android,57.3,0,
U100254,2026-08-19,A,iOS,299.21,0,
U100255,2026-08-15,A,Android,117.61,0,
U100256,2026-08-18,B,Android,162.17,0,
U100257,2026-08-16,B,iOS,37.21,0,
U100258,2026-08-23,A,Android,80.95,0,
U100259,2026-08-09,B,Android,236.36,0,
U100260,2026-08-04,A,iOS,51.84,0,
U100261,2026-08-10,B,Android,130.73,0,
U100262,2026-08-21,B,Android,81.91,0,
U100263,2026-08-20,A,Android,186.36,0,
U100264,2026-08-11,B,Android,90.93,0,
U100265,2026-08-16,B,Android,88.82,0,
U100266,2026-08-17,A,Desktop,46.65,0,
U100267,2026-08-06,A,Desktop,415.82,0,
U100268,2026-08-14,B,Android,76.79,0,
U100269,2026-08-05,B,iOS,81.8,0,
U100270,2026-08-22,B,Desktop,129.3,1,77.02
U100271,2026-08-16,A,iOS,60.2,0,
U100272,2026-08-05,A,Desktop,93.43,0,
U100273,2026-08-21,A,Desktop,87.19,0,
U100274,2026-08-05,A,Android,85.56,0,
U100275,2026-08-06,B,Android,195.43,0,
U100276,2026-08-07,B,Android,424.11,0,
U100277,2026-08-22,B,Desktop,325.74,0,
U100278,2026-08-06,A,Desktop,27.9,0,
U100279,2026-08-07,B,iOS,101.2,0,
U100280,2026-08-19,A,Android,154.12,0,
U100281,2026-08-04,A,Android,41.86,0,
U100282,2026-08-06,B,Android,102.04,0,
U100283,2026-08-06,A,Android,106.59,1,347.21
U100284,2026-08-16,B,iOS,236.28,0,
U100285,2026-08-18,B,Android,112.77,0,
U100286,2026-08-14,A,Desktop,124.16,0,
U100287,2026-08-04,A,Android,143.55,0,
U100288,2026-08-23,A,Desktop,128.99,0,
U100289,2026-08-14,B,Desktop,40.18,0,
U100290,2026-08-14,B,Desktop,81.4,0,
U100291,2026-08-15,B,Android,325.47,0,
U100292,2026-08-09,B,Desktop,141.58,0,
U100293,2026-08-08,B,Desktop,112.96,0,
U100294,2026-08-23,A,Android,205.39,0,
U100295,2026-08-18,B,iOS,174.48,0,
U100296,2026-08-19,B,Android,116.29,0,
U100297,2026-08-13,B,Android,201.33,0,
U100298,2026-08-13,B,iOS,77.38,0,
U100299,2026-08-04,A,Desktop,122.87,0,
U100300,2026-08-09,A,Android,78.03,0,
U100301,2026-08-16,B,Android,74.9,0,
U100302,2026-08-19,B,iOS,44.42,0,
U100303,2026-08-03,A,Android,100.17,0,
U100304,2026-08-07,B,Desktop,368.09,1,65.47
U100305,2026-08-05,A,iOS,116.58,0,
U100306,2026-08-03,A,Android,121.16,0,
U100307,2026-08-03,B,Desktop,35.33,0,
U100308,2026-08-08,A,Android,198.08,0,
U100309,2026-08-16,B,Desktop,173.21,0,
U100310,2026-08-18,A,Android,88.12,0,
U100311,2026-08-13,A,Android,62.5,0,
U100312,2026-08-15,B,Android,225.69,0,
U100313,2026-08-06,B,Android,138.44,0,
U100314,2026-08-10,A,iOS,72.0,0,
U100315,2026-08-08,A,iOS,100.75,0,
U100316,2026-08-06,A,iOS,109.92,0,
U100317,2026-08-20,B,iOS,159.85,0,
U100318,2026-08-18,A,Desktop,54.5,0,
U100319,2026-08-09,A,Android,36.82,0,
U100320,2026-08-16,B,Android,47.51,1,118.0
U100321,2026-08-10,A,Android,51.36,0,
U100322,2026-08-15,B,iOS,92.31,1,115.71
U100323,2026-08-12,A,Desktop,30.88,0,
U100324,2026-08-15,B,Android,401.85,0,
U100325,2026-08-12,B,Android,254.5,0,
U100326,2026-08-05,A,Android,92.39,0,
U100327,2026-08-08,B,Android,36.62,0,
U100328,2026-08-05,B,Desktop,47.61,0,
U100329,2026-08-08,B,Android,137.53,0,
U100330,2026-08-13,A,iOS,99.9,0,
U100331,2026-08-07,B,Desktop,50.09,0,
U100332,2026-08-05,A,Android,72.35,0,
U100333,2026-08-20,A,Desktop,363.89,0,
U100334,2026-08-09,A,Android,132.71,1,196.38
U100335,2026-08-12,B,Desktop,29.44,0,
U100336,2026-08-07,A,Android,25.68,0,
U100337,2026-08-23,A,Android,131.44,1,234.7
U100338,2026-08-16,A,Android,91.0,0,
U100339,2026-08-13,A,Android,55.58,0,
U100340,2026-08-18,B,Android,58.46,0,
U100341,2026-08-20,B,Android,159.71,1,176.16
U100342,2026-08-11,A,Desktop,304.56,0,
U100343,2026-08-20,A,Android,154.88,0,
U100344,2026-08-22,B,Desktop,151.13,0,
U100345,2026-08-15,A,Android,39.74,1,165.77
U100346,2026-08-16,B,Android,58.37,0,
U100347,2026-08-17,A,Android,582.61,0,
U100348,2026-08-21,B,Desktop,92.96,0,
U100349,2026-08-09,B,Desktop,38.35,0,
U100350,2026-08-04,B,iOS,43.44,0,
U100351,2026-08-14,A,Desktop,36.37,1,298.84
U100352,2026-08-03,A,iOS,99.16,0,
U100353,2026-08-18,B,Android,43.32,0,
U100354,2026-08-09,A,Android,44.01,0,
U100355,2026-08-10,A,Android,120.46,0,
U100356,2026-08-03,B,Android,94.77,0,
U100357,2026-08-10,A,Android,47.82,0,
U100358,2026-08-07,B,Android,136.65,0,
U100359,2026-08-14,B,iOS,605.33,0,
U100360,2026-08-11,A,Android,196.99,0,
U100361,2026-08-16,B,Desktop,52.5,0,
U100362,2026-08-04,B,Desktop,72.23,0,
U100363,2026-08-05,A,Desktop,55.21,0,
U100364,2026-08-13,A,Android,288.03,0,
U100365,2026-08-09,B,Desktop,162.06,1,136.41
U100366,2026-08-21,A,iOS,229.15,0,
U100367,2026-08-07,B,Android,106.85,0,
U100368,2026-08-20,B,Desktop,283.95,0,
U100369,2026-08-15,A,Android,299.24,1,86.5
U100370,2026-08-20,B,Android,66.07,0,
U100371,2026-08-21,B,Android,83.56,0,
U100372,2026-08-12,B,Android,179.28,0,
U100373,2026-08-18,B,Desktop,83.05,0,
U100374,2026-08-06,A,Desktop,70.73,1,34.46
U100375,2026-08-03,B,Android,77.42,0,
U100376,2026-08-17,A,Android,116.83,0,
U100377,2026-08-09,A,iOS,92.84,0,
U100378,2026-08-05,A,Android,63.36,0,
U100379,2026-08-08,A,Desktop,114.36,0,
U100380,2026-08-08,A,Desktop,220.75,0,
U100381,2026-08-05,B,Android,92.74,0,
U100382,2026-08-07,A,Desktop,57.73,0,
U100383,2026-08-13,B,Android,77.02,0,
U100384,2026-08-18,B,Android,107.86,0,
U100385,2026-08-06,A,Desktop,83.16,0,
U100386,2026-08-19,A,Android,248.05,0,
U100387,2026-08-16,B,iOS,105.84,0,
U100388,2026-08-12,B,Android,72.63,0,
U100389,2026-08-06,A,Android,105.05,0,
U100390,2026-08-03,B,Android,119.2,0,
U100391,2026-08-17,A,Desktop,115.67,0,
U100392,2026-08-04,B,iOS,213.93,0,
U100393,2026-08-09,B,iOS,28.42,1,183.72
U100394,2026-08-17,B,Android,142.26,0,
U100395,2026-08-10,A,iOS,113.55,0,
U100396,2026-08-23,B,Android,11.25,0,
U100397,2026-08-09,A,Android,89.63,0,
U100398,2026-08-23,B,Desktop,177.86,0,
U100399,2026-08-23,A,Desktop,138.56,0,
U100400,2026-08-23,B,Android,52.23,0,
U100401,2026-08-11,A,Desktop,28.0,0,
U100402,2026-08-08,A,Android,80.66,0,
U100403,2026-08-03,B,Desktop,140.08,0,
U100404,2026-08-10,A,Desktop,87.4,0,
U100405,2026-08-03,B,Android,282.17,0,
U100406,2026-08-21,A,Android,68.92,0,
U100407,2026-08-10,A,Android,111.54,0,
U100408,2026-08-17,A,Desktop,58.36,0,
U100409,2026-08-04,B,Android,402.91,1,104.64
U100410,2026-08-04,A,iOS,438.25,0,
U100411,2026-08-06,A,Desktop,38.41,0,
U100412,2026-08-18,B,iOS,89.65,0,
U100413,2026-08-21,A,Android,81.24,0,
U100414,2026-08-23,B,Desktop,151.52,1,221.12
U100415,2026-08-06,B,iOS,90.94,0,
U100416,2026-08-09,B,Android,16.89,0,
U100417,2026-08-06,A,Android,25.0,0,
U100418,2026-08-14,A,iOS,30.53,0,
U100419,2026-08-14,A,Android,350.6,0,
U100420,2026-08-05,A,iOS,248.7,0,
U100421,2026-08-07,B,Desktop,73.64,0,
U100422,2026-08-04,B,Desktop,230.1,0,
U100423,2026-08-11,A,Desktop,203.83,0,
U100424,2026-08-15,B,Desktop,92.68,0,
U100425,2026-08-19,B,Android,51.04,0,
U100426,2026-08-20,B,Desktop,39.97,0,
U100427,2026-08-18,B,Desktop,221.69,0,
U100428,2026-08-22,B,Android,75.55,0,
U100429,2026-08-12,A,iOS,232.3,0,
U100430,2026-08-05,A,Android,32.49,1,87.26
U100431,2026-08-06,B,iOS,204.93,0,
U100432,2026-08-10,A,Android,290.46,0,
U100433,2026-08-16,A,Android,82.1,0,
U100434,2026-08-10,B,Android,37.95,0,
U100435,2026-08-20,A,Android,101.42,0,
U100436,2026-08-17,A,Android,107.72,0,
U100437,2026-08-14,B,Desktop,493.62,0,
U100438,2026-08-12,A,iOS,57.88,0,
U100439,2026-08-21,B,Android,43.78,0,
U100440,2026-08-16,A,Android,138.81,0,
U100441,2026-08-16,A,Desktop,63.46,1,93.34
U100442,2026-08-23,B,Android,39.7,1,142.25
U100443,2026-08-07,B,iOS,87.91,0,
U100444,2026-08-20,B,iOS,274.73,1,130.4
U100445,2026-08-17,A,Android,64.0,0,
U100446,2026-08-10,B,Desktop,428.41,0,
U100447,2026-08-04,B,Android,188.18,0,
U100448,2026-08-17,A,Desktop,127.73,0,
U100449,2026-08-04,A,Android,39.1,0,
U100450,2026-08-12,B,Android,97.15,0,
U100451,2026-08-04,B,iOS,62.21,0,
U100452,2026-08-11,B,Android,86.6,0,
U100453,2026-08-21,B,Android,154.95,0,
U100454,2026-08-18,B,iOS,72.9,0,
U100455,2026-08-20,B,Android,192.55,0,
U100456,2026-08-13,A,Android,88.72,0,
U100457,2026-08-11,B,Desktop,159.84,1,114.17
U100458,2026-08-22,B,iOS,147.72,1,71.84
U100459,2026-08-07,B,Desktop,193.3,0,
U100460,2026-08-13,B,Desktop,17.24,1,118.8
U100461,2026-08-22,B,Android,80.99,0,
U100462,2026-08-03,B,Android,262.3,0,
U100463,2026-08-03,A,Desktop,147.74,0,
U100464,2026-08-04,B,Android,51.85,0,
U100465,2026-08-06,A,Android,40.66,0,
U100466,2026-08-14,B,Desktop,469.43,0,
U100467,2026-08-22,A,Desktop,156.96,0,
U100468,2026-08-20,A,Android,384.85,1,76.73
U100469,2026-08-17,B,Android,60.68,0,
U100470,2026-08-04,A,Android,52.78,0,
U100471,2026-08-17,A,Desktop,81.22,1,118.68
U100472,2026-08-20,B,Android,36.56,0,
U100473,2026-08-11,A,Desktop,26.32,0,
U100474,2026-08-15,A,Android,60.18,0,
U100475,2026-08-07,B,Android,137.71,0,
U100476,2026-08-19,B,iOS,59.6,0,
U100477,2026-08-18,A,Desktop,64.47,0,
U100478,2026-08-08,B,Android,37.88,0,
U100479,2026-08-05,A,iOS,349.35,1,182.53
U100480,2026-08-14,A,Android,84.63,0,
U100481,2026-08-10,B,Desktop,102.38,1,115.84
U100482,2026-08-06,A,Desktop,240.8,0,
U100483,2026-08-03,B,Desktop,65.81,0,
U100484,2026-08-17,A,Android,454.34,0,
U100485,2026-08-16,A,Android,70.09,0,
U100486,2026-08-10,A,Android,60.84,0,
U100487,2026-08-09,A,Desktop,213.76,0,
U100488,2026-08-18,A,Android,143.61,0,
U100489,2026-08-21,A,Desktop,136.68,0,
U100490,2026-08-12,A,Desktop,61.72,1,84.46
U100491,2026-08-11,B,Android,309.21,0,
U100492,2026-08-16,B,Android,118.07,0,
U100493,2026-08-08,B,Android,223.34,0,
U100494,2026-08-10,B,Android,54.16,0,
U100495,2026-08-14,A,Desktop,79.92,0,
U100496,2026-08-12,B,Android,80.6,0,
U100497,2026-08-11,B,Desktop,153.53,0,
U100498,2026-08-19,A,Android,86.43,0,
U100499,2026-08-05,B,Android,118.45,0,
U100500,2026-08-14,B,Android,110.09,0,
U100501,2026-08-10,A,Desktop,105.04,0,
U100502,2026-08-22,A,Android,96.36,0,
U100503,2026-08-10,B,Android,53.31,0,
U100504,2026-08-13,B,Desktop,38.94,1,253.4
U100505,2026-08-19,A,Android,146.16,1,217.02
U100506,2026-08-04,A,Android,66.11,0,
U100507,2026-08-04,B,Android,88.64,0,
U100508,2026-08-21,B,Android,260.08,0,
U100509,2026-08-18,B,Desktop,141.79,0,
U100510,2026-08-13,A,Desktop,66.6,0,
U100511,2026-08-10,B,iOS,98.42,0,
U100512,2026-08-04,A,Desktop,101.45,0,
U100513,2026-08-13,A,Android,126.47,0,
U100514,2026-08-23,A,Android,175.47,0,
U100515,2026-08-21,B,iOS,101.29,0,
U100516,2026-08-14,A,Android,129.94,0,
U100517,2026-08-20,B,Android,259.39,0,
U100518,2026-08-17,B,Android,206.98,0,
U100519,2026-08-03,A,Android,150.47,0,
U100520,2026-08-12,A,Desktop,109.34,0,
U100521,2026-08-14,A,Android,115.06,0,
U100522,2026-08-07,B,Desktop,66.96,1,49.99
U100523,2026-08-05,A,Android,24.29,0,
U100524,2026-08-20,B,Android,284.03,0,
U100525,2026-08-20,A,Desktop,53.91,0,
U100526,2026-08-21,B,Android,218.18,0,
U100527,2026-08-14,A,Android,116.5,0,
U100528,2026-08-12,B,Desktop,474.79,0,
U100529,2026-08-04,A,Desktop,261.14,0,
U100530,2026-08-14,A,Android,141.68,1,221.47
U100531,2026-08-03,B,Android,92.43,1,155.82
U100532,2026-08-18,B,Android,98.01,0,
U100533,2026-08-16,A,Desktop,112.37,0,
U100534,2026-08-11,B,Desktop,90.0,0,
U100535,2026-08-17,A,Android,73.0,0,
U100536,2026-08-21,B,Android,70.74,0,
U100537,2026-08-16,B,Android,183.13,0,
U100538,2026-08-22,B,Android,188.91,0,
U100539,2026-08-16,B,Android,239.11,0,
U100540,2026-08-18,A,Desktop,25.91,0,
U100541,2026-08-20,A,Android,630.45,0,
U100542,2026-08-04,B,Desktop,62.58,0,
U100543,2026-08-17,A,Android,148.85,0,
U100544,2026-08-16,A,Android,316.18,0,
U100545,2026-08-14,B,iOS,376.16,0,
U100546,2026-08-11,A,Desktop,90.8,0,
U100547,2026-08-15,A,Android,99.46,0,
U100548,2026-08-10,A,Desktop,105.51,0,
U100549,2026-08-10,A,Desktop,63.09,0,
U100550,2026-08-05,A,Desktop,80.77,0,
U100551,2026-08-12,B,Desktop,36.55,0,
U100552,2026-08-08,B,Android,82.33,0,
U100553,2026-08-09,A,Desktop,22.26,0,
U100554,2026-08-18,B,Desktop,174.43,0,
U100555,2026-08-03,B,Desktop,143.95,0,
U100556,2026-08-04,B,Android,116.76,0,
U100557,2026-08-07,B,Desktop,42.48,1,177.04
U100558,2026-08-12,B,Desktop,49.12,0,
U100559,2026-08-22,A,Android,206.79,0,
U100560,2026-08-18,A,Android,132.9,0,
U100561,2026-08-21,B,iOS,80.03,0,
U100562,2026-08-18,A,Android,108.5,0,
U100563,2026-08-21,A,Android,67.81,0,
U100564,2026-08-05,B,Desktop,80.06,0,
U100565,2026-08-03,A,Desktop,146.68,0,
U100566,2026-08-13,B,Android,50.98,0,
U100567,2026-08-06,B,Android,20.11,0,
U100568,2026-08-12,B,Android,172.49,0,
U100569,2026-08-23,B,Android,96.94,1,112.36
U100570,2026-08-14,B,Android,78.2,0,
U100571,2026-08-07,A,Android,44.31,0,
U100572,2026-08-04,B,Android,158.27,0,
U100573,2026-08-13,A,Android,215.8,0,
U100574,2026-08-13,A,Android,33.3,0,
U100575,2026-08-13,A,Android,368.56,0,
U100576,2026-08-16,A,iOS,166.99,0,
