transaccion_id,tipo_operacion,version_api,datacenter,hora,franja,latencia_ms,error,satisfaccion
T500041,Consulta de saldo,v2,Lima,17,Normal,115.1,0,4.0
T500042,Pago QR,v1,Lima,2,Normal,245.2,0,4.0
T500043,Pago de servicios,v1,Lima,5,Normal,436.4,0,4.0
T500044,Consulta de saldo,v1,Arequipa,20,Pico,144.5,0,5.0
T500045,Consulta de saldo,v1,Lima,12,Normal,90.6,0,4.0
T500046,Pago QR,v1,Lima,11,Normal,223.9,0,4.0
T500047,Pago de servicios,v2,Arequipa,9,Pico,264.4,0,4.0
T500048,Recarga celular,v2,Lima,23,Normal,131.5,0,4.0
T500049,Consulta de saldo,v2,Arequipa,4,Normal,79.0,0,4.0
T500050,Pago de servicios,v1,Lima,7,Normal,92.8,0,5.0
T500051,Pago QR,v2,Trujillo,1,Normal,338.6,0,5.0
T500052,Pago QR,v1,Lima,17,Normal,128.2,0,4.0
T500053,Recarga celular,v2,Arequipa,22,Normal,109.0,0,5.0
T500054,Transferencia,v2,Lima,20,Pico,314.0,0,4.0
T500055,Transferencia,v2,Lima,0,Normal,172.1,0,5.0
T500056,Consulta de saldo,v2,Trujillo,21,Pico,458.3,0,4.0
T500057,Pago de servicios,v2,Arequipa,13,Normal,144.9,0,5.0
T500058,Consulta de saldo,v1,Trujillo,0,Normal,125.8,0,4.0
T500059,Consulta de saldo,v2,Lima,19,Pico,189.9,0,5.0
T500060,Consulta de saldo,v2,Lima,17,Normal,61.6,0,4.0
T500061,Transferencia,v1,Lima,3,Normal,428.5,0,3.0
T500062,Recarga celular,v2,Trujillo,21,Pico,167.2,0,4.0
T500063,Pago QR,v2,Trujillo,12,Normal,132.5,0,5.0
T500064,Pago QR,v1,Lima,17,Normal,242.5,0,3.0
T500065,Transferencia,v1,Trujillo,1,Normal,969.9,0,2.0
T500066,Pago QR,v1,Trujillo,17,Normal,162.1,0,3.0
T500067,Pago de servicios,v2,Trujillo,23,Normal,235.3,0,5.0
T500068,Pago de servicios,v2,Trujillo,20,Pico,564.7,0,4.0
T500069,Transferencia,v2,Lima,12,Normal,167.7,0,5.0
T500070,Transferencia,v1,Lima,12,Normal,316.1,0,4.0
T500071,Pago QR,v1,Arequipa,11,Normal,157.5,0,3.0
T500072,Pago QR,v1,Lima,18,Pico,424.2,0,4.0
T500073,Consulta de saldo,v1,Lima,3,Normal,59.2,0,5.0
T500074,Pago QR,v1,Arequipa,18,Pico,287.8,0,5.0
T500075,Pago QR,v1,Trujillo,6,Normal,273.9,0,4.0
T500076,Recarga celular,v1,Trujillo,19,Pico,211.6,0,5.0
T500077,Transferencia,v2,Lima,15,Normal,252.2,0,4.0
T500078,Transferencia,v2,Trujillo,23,Normal,407.8,0,2.0
T500079,Transferencia,v1,Lima,9,Pico,329.0,0,5.0
T500080,Pago QR,v1,Trujillo,10,Pico,215.5,0,4.0
T500081,Transferencia,v2,Lima,19,Pico,153.9,0,3.0
T500082,Transferencia,v1,Lima,10,Pico,299.9,0,4.0
T500083,Transferencia,v1,Lima,17,Normal,112.5,0,5.0
T500084,Pago QR,v1,Lima,13,Normal,151.6,0,4.0
T500085,Transferencia,v2,Trujillo,4,Normal,423.1,0,4.0
T500086,Consulta de saldo,v2,Trujillo,20,Pico,75.3,0,4.0
T500087,Pago de servicios,v1,Arequipa,13,Normal,363.0,0,4.0
T500088,Pago de servicios,v2,Trujillo,10,Pico,591.0,0,3.0
T500089,Consulta de saldo,v1,Lima,21,Pico,112.2,0,4.0
T500090,Pago de servicios,v2,Trujillo,19,Pico,309.7,0,3.0
T500091,Transferencia,v1,Arequipa,19,Pico,294.6,0,4.0
T500092,Consulta de saldo,v2,Lima,21,Pico,188.9,0,4.0
T500093,Pago de servicios,v2,Trujillo,0,Normal,310.5,0,3.0
T500094,Transferencia,v2,Trujillo,6,Normal,482.0,0,2.0
T500095,Pago QR,v2,Lima,13,Normal,70.6,0,5.0
T500096,Transferencia,v1,Trujillo,12,Normal,176.2,0,5.0
T500097,Consulta de saldo,v2,Lima,10,Pico,74.6,0,5.0
T500098,Transferencia,v1,Arequipa,7,Normal,433.5,0,5.0
T500099,Consulta de saldo,v1,Trujillo,14,Normal,103.0,0,5.0
T500100,Pago QR,v2,Arequipa,1,Normal,238.3,0,5.0
T500101,Recarga celular,v2,Trujillo,10,Pico,165.4,0,5.0
T500102,Transferencia,v1,Lima,10,Pico,593.0,0,3.0
T500103,Recarga celular,v1,Lima,10,Pico,287.7,0,4.0
T500104,Consulta de saldo,v2,Arequipa,6,Normal,51.5,0,5.0
T500105,Recarga celular,v1,Trujillo,4,Normal,128.1,0,4.0
T500106,Consulta de saldo,v1,Trujillo,20,Pico,94.2,0,3.0
T500107,Pago de servicios,v2,Arequipa,8,Pico,317.4,0,4.0
T500108,Pago de servicios,v1,Arequipa,23,Normal,474.8,0,4.0
T500109,Recarga celular,v2,Lima,22,Normal,130.0,0,4.0
T500110,Transferencia,v2,Lima,16,Normal,143.8,0,5.0
T500111,Recarga celular,v1,Arequipa,15,Normal,262.5,0,3.0
T500112,Pago QR,v2,Trujillo,20,Pico,234.4,0,5.0
T500113,Pago QR,v1,Lima,20,Pico,240.3,0,3.0
T500114,Recarga celular,v1,Trujillo,20,Pico,167.3,0,
T500115,Consulta de saldo,v1,Arequipa,13,Normal,96.1,0,5.0
T500116,Transferencia,v2,Arequipa,19,Pico,213.6,0,
T500117,Pago de servicios,v2,Trujillo,16,Normal,489.0,1,3.0
T500118,Pago QR,v1,Arequipa,20,Pico,257.1,0,4.0
T500119,Consulta de saldo,v2,Trujillo,11,Normal,142.4,0,4.0
T500120,Transferencia,v2,Lima,2,Normal,374.7,0,4.0
T500121,Pago QR,v2,Trujillo,7,Normal,265.3,0,4.0
T500122,Consulta de saldo,v1,Lima,8,Pico,230.5,0,4.0
T500123,Recarga celular,v2,Lima,0,Normal,151.1,0,5.0
T500124,Pago QR,v1,Lima,16,Normal,128.3,0,4.0
T500125,Pago QR,v2,Trujillo,23,Normal,344.7,0,4.0
T500126,Recarga celular,v1,Arequipa,21,Pico,214.7,0,4.0
T500127,Pago QR,v1,Lima,3,Normal,140.3,0,4.0
T500128,Pago QR,v1,Lima,15,Normal,149.3,0,4.0
T500129,Pago QR,v1,Trujillo,19,Pico,300.2,0,4.0
T500130,Consulta de saldo,v1,Trujillo,6,Normal,101.1,0,4.0
T500131,Recarga celular,v2,Arequipa,6,Normal,154.5,0,5.0
T500132,Pago QR,v2,Arequipa,18,Pico,149.7,0,5.0
T500133,Consulta de saldo,v1,Arequipa,6,Normal,71.2,0,5.0
T500134,Pago QR,v2,Trujillo,23,Normal,207.6,0,5.0
T500135,Pago QR,v1,Lima,13,Normal,182.1,0,5.0
T500136,Recarga celular,v2,Trujillo,15,Normal,163.2,0,4.0
T500137,Recarga celular,v1,Lima,17,Normal,269.3,0,4.0
T500138,Recarga celular,v2,Lima,14,Normal,201.2,0,5.0
T500139,Transferencia,v2,Lima,10,Pico,211.9,0,3.0
T500140,Pago de servicios,v2,Trujillo,3,Normal,278.7,0,3.0
T500141,Consulta de saldo,v1,Trujillo,11,Normal,94.3,0,4.0
T500142,Consulta de saldo,v2,Arequipa,11,Normal,78.5,0,4.0
T500143,Consulta de saldo,v1,Arequipa,14,Normal,81.7,0,4.0
T500144,Pago de servicios,v2,Arequipa,21,Pico,544.6,0,3.0
T500145,Pago QR,v1,Arequipa,1,Normal,199.2,0,3.0
T500146,Pago de servicios,v1,Lima,20,Pico,225.4,0,4.0
T500147,Pago de servicios,v2,Arequipa,18,Pico,801.6,0,4.0
T500148,Recarga celular,v1,Lima,9,Pico,72.2,0,5.0
T500149,Transferencia,v1,Trujillo,11,Normal,291.1,0,3.0
T500150,Recarga celular,v1,Lima,11,Normal,163.4,1,3.0
T500151,Pago de servicios,v1,Lima,21,Pico,828.6,0,4.0
T500152,Recarga celular,v2,Lima,8,Pico,268.7,0,4.0
T500153,Pago de servicios,v1,Lima,1,Normal,195.3,0,4.0
T500154,Transferencia,v2,Lima,7,Normal,324.2,0,4.0
T500155,Pago de servicios,v2,Trujillo,20,Pico,555.9,0,3.0
T500156,Transferencia,v1,Lima,16,Normal,157.3,0,4.0
T500157,Transferencia,v1,Trujillo,0,Normal,614.0,0,3.0
T500158,Consulta de saldo,v2,Lima,5,Normal,277.9,0,4.0
T500159,Recarga celular,v1,Arequipa,0,Normal,133.6,0,5.0
T500160,Recarga celular,v1,Lima,12,Normal,152.7,0,5.0
T500161,Consulta de saldo,v1,Arequipa,1,Normal,121.6,0,4.0
T500162,Transferencia,v1,Arequipa,22,Normal,209.1,0,4.0
T500163,Transferencia,v1,Trujillo,8,Pico,331.4,0,4.0
T500164,Pago QR,v1,Arequipa,3,Normal,164.2,0,4.0
T500165,Consulta de saldo,v2,Arequipa,2,Normal,50.9,0,5.0
T500166,Pago QR,v1,Lima,18,Pico,466.9,1,2.0
T500167,Consulta de saldo,v1,Lima,10,Pico,118.9,0,5.0
T500168,Pago de servicios,v2,Lima,10,Pico,321.9,0,5.0
T500169,Pago de servicios,v1,Arequipa,11,Normal,371.5,0,3.0
T500170,Consulta de saldo,v1,Trujillo,22,Normal,39.0,0,4.0
T500171,Transferencia,v2,Lima,22,Normal,316.6,0,5.0
T500172,Pago QR,v1,Trujillo,1,Normal,319.4,0,4.0
T500173,Pago de servicios,v2,Lima,6,Normal,,0,3.0
T500174,Consulta de saldo,v2,Lima,22,Normal,148.7,0,4.0
T500175,Consulta de saldo,v2,Arequipa,14,Normal,132.0,0,4.0
T500176,Transferencia,v2,Lima,1,Normal,321.9,0,4.0
T500177,Recarga celular,v2,Lima,16,Normal,113.5,0,4.0
T500178,Consulta de saldo,v2,Lima,7,Normal,73.7,0,5.0
T500179,Recarga celular,v2,Arequipa,4,Normal,260.2,0,5.0
T500180,Pago de servicios,v1,Trujillo,13,Normal,727.2,0,3.0
T500181,Consulta de saldo,v1,Lima,3,Normal,111.5,0,4.0
T500182,Transferencia,v2,Lima,16,Normal,145.4,0,5.0
T500183,Pago de servicios,v1,Lima,1,Normal,161.2,0,4.0
T500184,Consulta de saldo,v1,Arequipa,4,Normal,93.1,0,5.0
T500185,Transferencia,v2,Lima,6,Normal,203.7,0,5.0
T500186,Pago QR,v2,Arequipa,7,Normal,269.5,0,5.0
T500187,Transferencia,v2,Trujillo,10,Pico,193.5,0,4.0
T500188,Pago QR,v2,Trujillo,4,Normal,214.2,0,4.0
T500189,Consulta de saldo,v1,Arequipa,19,Pico,186.5,0,4.0
T500190,Pago de servicios,v1,Lima,22,Normal,466.1,0,5.0
T500191,Pago de servicios,v2,Arequipa,13,Normal,407.8,0,4.0
T500192,Pago QR,v2,Arequipa,10,Pico,484.8,0,2.0
T500193,Transferencia,v1,Lima,3,Normal,130.6,0,5.0
T500194,Pago QR,v1,Arequipa,14,Normal,154.9,0,4.0
T500195,Consulta de saldo,v1,Arequipa,1,Normal,171.5,0,5.0
T500196,Consulta de saldo,v2,Lima,2,Normal,136.7,0,5.0
T500197,Pago QR,v1,Arequipa,12,Normal,199.9,0,4.0
T500198,Transferencia,v2,Lima,1,Normal,282.1,0,4.0
T500199,Transferencia,v2,Arequipa,14,Normal,472.4,0,4.0
T500200,Transferencia,v2,Lima,18,Pico,334.8,0,5.0
T500201,Recarga celular,v2,Lima,8,Pico,204.2,0,5.0
T500202,Transferencia,v2,Lima,9,Pico,224.8,0,4.0
T500203,Recarga celular,v1,Lima,0,Normal,155.9,0,5.0
T500204,Recarga celular,v2,Trujillo,8,Pico,134.5,0,5.0
T500205,Transferencia,v2,Lima,3,Normal,617.5,0,4.0
T500206,Pago QR,v2,Lima,0,Normal,191.3,0,4.0
T500207,Recarga celular,v1,Lima,23,Normal,119.3,0,5.0
T500208,Recarga celular,v1,Lima,10,Pico,262.7,0,4.0
T500209,Pago de servicios,v1,Arequipa,5,Normal,734.6,0,2.0
T500210,Recarga celular,v1,Trujillo,15,Normal,99.6,0,5.0
T500211,Consulta de saldo,v1,Arequipa,13,Normal,140.5,0,5.0
T500212,Pago QR,v1,Lima,13,Normal,341.7,0,3.0
T500213,Pago de servicios,v2,Lima,23,Normal,152.8,0,4.0
T500214,Pago QR,v1,Lima,10,Pico,329.6,0,3.0
T500215,Pago de servicios,v2,Lima,10,Pico,216.6,0,4.0
T500216,Pago de servicios,v2,Lima,8,Pico,396.8,0,4.0
T500217,Pago de servicios,v2,Lima,23,Normal,336.4,0,3.0
T500218,Pago de servicios,v2,Lima,19,Pico,148.8,0,5.0
T500219,Consulta de saldo,v1,Trujillo,20,Pico,106.6,0,5.0
T500220,Pago QR,v2,Lima,17,Normal,129.5,0,4.0
T500221,Recarga celular,v1,Arequipa,14,Normal,365.3,0,3.0
T500222,Consulta de saldo,v2,Lima,2,Normal,103.8,0,5.0
T500223,Pago de servicios,v2,Trujillo,23,Normal,392.8,0,5.0
T500224,Pago de servicios,v2,Lima,12,Normal,260.1,0,4.0
T500225,Pago de servicios,v1,Lima,15,Normal,553.2,0,3.0
T500226,Pago QR,v1,Lima,3,Normal,139.8,0,4.0
T500227,Consulta de saldo,v2,Lima,17,Normal,324.9,0,5.0
T500228,Pago de servicios,v1,Lima,13,Normal,124.9,1,3.0
T500229,Transferencia,v2,Trujillo,21,Pico,283.6,0,4.0
T500230,Consulta de saldo,v2,Lima,18,Pico,70.7,0,
T500231,Transferencia,v2,Arequipa,4,Normal,335.0,0,4.0
T500232,Pago QR,v1,Trujillo,23,Normal,103.1,0,4.0
T500233,Transferencia,v2,Trujillo,8,Pico,225.1,0,5.0
T500234,Pago de servicios,v1,Lima,20,Pico,422.3,0,3.0
T500235,Recarga celular,v2,Lima,7,Normal,142.4,0,4.0
T500236,Consulta de saldo,v2,Lima,3,Normal,184.2,0,4.0
T500237,Recarga celular,v1,Trujillo,4,Normal,75.3,0,4.0
T500238,Pago QR,v1,Lima,8,Pico,237.6,0,4.0
T500239,Recarga celular,v2,Arequipa,16,Normal,159.1,0,4.0
T500240,Pago QR,v1,Lima,22,Normal,386.4,0,4.0
T500241,Pago de servicios,v1,Trujillo,22,Normal,463.3,0,4.0
T500242,Transferencia,v1,Lima,13,Normal,271.9,0,3.0
T500243,Recarga celular,v2,Arequipa,18,Pico,170.2,0,5.0
T500244,Pago QR,v1,Lima,22,Normal,142.2,0,5.0
T500245,Transferencia,v1,Lima,17,Normal,229.6,0,5.0
T500246,Transferencia,v1,Trujillo,20,Pico,385.6,0,4.0
T500247,Pago QR,v2,Trujillo,19,Pico,114.5,0,5.0
T500248,Pago QR,v2,Arequipa,7,Normal,126.5,0,5.0
T500249,Pago QR,v2,Arequipa,12,Normal,137.6,0,4.0
T500250,Pago de servicios,v2,Lima,15,Normal,482.0,0,3.0
T500251,Recarga celular,v1,Lima,19,Pico,150.2,0,5.0
T500252,Transferencia,v1,Lima,18,Pico,258.0,0,4.0
T500253,Pago QR,v1,Lima,18,Pico,307.1,0,3.0
T500254,Transferencia,v2,Trujillo,18,Pico,407.6,0,3.0
T500255,Pago de servicios,v2,Trujillo,15,Normal,308.4,0,3.0
T500256,Recarga celular,v1,Trujillo,4,Normal,260.8,0,5.0
T500257,Consulta de saldo,v1,Arequipa,0,Normal,72.7,0,5.0
T500258,Consulta de saldo,v2,Arequipa,5,Normal,142.1,0,5.0
T500259,Pago de servicios,v2,Lima,0,Normal,305.1,0,4.0
T500260,Recarga celular,v2,Lima,7,Normal,132.3,0,3.0
T500261,Pago QR,v1,Lima,8,Pico,235.8,0,5.0
T500262,Recarga celular,v2,Trujillo,9,Pico,168.0,0,3.0
T500263,Recarga celular,v2,Arequipa,18,Pico,280.3,0,4.0
T500264,Consulta de saldo,v2,Trujillo,18,Pico,234.6,0,3.0
T500265,Transferencia,v2,Lima,16,Normal,276.0,0,5.0
T500266,Pago de servicios,v1,Arequipa,17,Normal,1018.0,0,2.0
T500267,Recarga celular,v1,Arequipa,23,Normal,92.0,0,5.0
T500268,Recarga celular,v2,Arequipa,6,Normal,121.4,0,5.0
T500269,Consulta de saldo,v2,Trujillo,19,Pico,152.9,0,4.0
T500270,Consulta de saldo,v2,Arequipa,12,Normal,96.8,0,5.0
T500271,Transferencia,v1,Lima,10,Pico,814.1,0,3.0
T500272,Recarga celular,v1,Arequipa,19,Pico,275.8,0,4.0
T500273,Pago de servicios,v1,Lima,9,Pico,220.9,0,4.0
T500274,Transferencia,v2,Trujillo,13,Normal,67.6,0,5.0
T500275,Consulta de saldo,v1,Trujillo,11,Normal,159.7,0,5.0
T500276,Recarga celular,v2,Lima,2,Normal,155.2,0,3.0
T500277,Pago de servicios,v2,Lima,3,Normal,299.5,0,3.0
T500278,Recarga celular,v2,Trujillo,21,Pico,245.3,0,4.0
T500279,Transferencia,v1,Lima,0,Normal,292.0,0,5.0
T500280,Pago QR,v2,Lima,2,Normal,174.9,0,4.0
T500281,Pago QR,v1,Trujillo,1,Normal,88.9,0,5.0
T500282,Pago de servicios,v1,Lima,3,Normal,271.7,0,3.0
T500283,Transferencia,v2,Lima,8,Pico,466.1,0,4.0
T500284,Recarga celular,v1,Arequipa,5,Normal,266.4,0,4.0
T500285,Pago QR,v1,Lima,20,Pico,119.4,0,4.0
T500286,Transferencia,v1,Lima,18,Pico,407.9,0,4.0
T500287,Recarga celular,v2,Lima,8,Pico,247.7,0,
T500288,Transferencia,v2,Lima,7,Normal,217.1,0,5.0
T500289,Transferencia,v1,Lima,10,Pico,268.3,0,5.0
T500290,Pago de servicios,v2,Lima,2,Normal,300.2,0,4.0
T500291,Transferencia,v1,Lima,10,Pico,126.6,0,3.0
T500292,Consulta de saldo,v1,Trujillo,1,Normal,118.6,0,4.0
T500293,Consulta de saldo,v1,Lima,11,Normal,66.0,0,4.0
T500294,Consulta de saldo,v1,Trujillo,4,Normal,43.1,0,4.0
T500295,Pago QR,v2,Arequipa,18,Pico,293.0,0,4.0
T500296,Transferencia,v1,Lima,4,Normal,433.8,0,4.0
T500297,Consulta de saldo,v1,Lima,6,Normal,97.1,0,4.0
T500298,Transferencia,v2,Lima,19,Pico,101.5,0,5.0
T500299,Consulta de saldo,v2,Lima,22,Normal,46.3,0,5.0
T500300,Pago de servicios,v1,Lima,21,Pico,266.6,0,4.0
T500301,Pago QR,v1,Lima,7,Normal,211.2,0,4.0
T500302,Transferencia,v1,Lima,3,Normal,261.0,0,4.0
T500303,Recarga celular,v2,Lima,23,Normal,166.6,0,3.0
T500304,Consulta de saldo,v1,Trujillo,9,Pico,,0,5.0
T500305,Consulta de saldo,v2,Lima,10,Pico,91.0,0,3.0
T500306,Pago QR,v1,Arequipa,10,Pico,240.5,0,4.0
T500307,Pago QR,v2,Lima,7,Normal,122.7,0,2.0
T500308,Consulta de saldo,v2,Lima,15,Normal,68.6,0,5.0
T500309,Transferencia,v2,Trujillo,20,Pico,537.9,0,3.0
T500310,Pago de servicios,v2,Trujillo,4,Normal,287.2,0,5.0
T500311,Consulta de saldo,v1,Trujillo,12,Normal,141.7,0,4.0
T500312,Recarga celular,v2,Trujillo,23,Normal,184.9,0,4.0
T500313,Recarga celular,v1,Lima,0,Normal,344.0,0,4.0
T500314,Consulta de saldo,v2,Lima,2,Normal,140.4,0,5.0
T500315,Transferencia,v1,Trujillo,8,Pico,216.5,0,4.0
T500316,Transferencia,v2,Lima,10,Pico,289.4,0,4.0
T500317,Pago QR,v1,Lima,22,Normal,,0,3.0
T500318,Pago QR,v2,Arequipa,15,Normal,229.0,0,5.0
T500319,Pago QR,v1,Trujillo,6,Normal,150.9,0,4.0
T500320,Transferencia,v2,Lima,15,Normal,201.5,0,4.0
T500321,Consulta de saldo,v2,Lima,12,Normal,74.1,0,5.0
T500322,Recarga celular,v1,Lima,19,Pico,249.7,0,4.0
T500323,Pago QR,v2,Arequipa,22,Normal,302.7,0,3.0
T500324,Transferencia,v1,Lima,12,Normal,215.7,0,4.0
T500325,Pago QR,v2,Lima,0,Normal,286.0,0,3.0
T500326,Consulta de saldo,v1,Trujillo,20,Pico,77.2,0,4.0
T500327,Pago de servicios,v2,Lima,1,Normal,212.6,0,5.0
T500328,Pago QR,v1,Arequipa,14,Normal,174.0,0,5.0
T500329,Transferencia,v2,Lima,22,Normal,265.5,0,4.0
T500330,Pago de servicios,v1,Lima,20,Pico,325.8,0,5.0
T500331,Pago de servicios,v2,Trujillo,5,Normal,574.1,0,3.0
T500332,Pago QR,v1,Lima,18,Pico,198.7,0,5.0
T500333,Transferencia,v2,Lima,6,Normal,171.8,0,4.0
T500334,Pago de servicios,v2,Trujillo,4,Normal,529.4,0,4.0
T500335,Pago de servicios,v2,Lima,20,Pico,201.1,0,5.0
T500336,Transferencia,v1,Lima,4,Normal,279.0,0,5.0
T500337,Consulta de saldo,v2,Arequipa,22,Normal,127.1,0,5.0
T500338,Consulta de saldo,v2,Trujillo,15,Normal,88.3,0,4.0
T500339,Consulta de saldo,v1,Lima,16,Normal,123.5,0,4.0
T500340,Transferencia,v1,Lima,0,Normal,456.5,0,3.0
T500341,Transferencia,v2,Arequipa,7,Normal,493.2,0,4.0
T500342,Recarga celular,v1,Lima,17,Normal,265.4,0,4.0
T500343,Transferencia,v1,Trujillo,3,Normal,461.5,1,2.0
T500344,Pago QR,v1,Arequipa,14,Normal,196.1,0,5.0
T500345,Consulta de saldo,v1,Lima,19,Pico,115.5,0,4.0
T500346,Recarga celular,v1,Trujillo,13,Normal,46.3,0,5.0
T500347,Transferencia,v1,Trujillo,3,Normal,389.2,0,3.0
T500348,Recarga celular,v2,Lima,23,Normal,275.4,0,3.0
T500349,Consulta de saldo,v2,Arequipa,9,Pico,237.7,0,4.0
T500350,Pago QR,v2,Lima,3,Normal,288.7,0,4.0
T500351,Consulta de saldo,v1,Arequipa,11,Normal,116.3,0,4.0
T500352,Consulta de saldo,v1,Lima,13,Normal,79.9,0,4.0
T500353,Recarga celular,v2,Trujillo,9,Pico,105.6,0,4.0
T500354,Pago QR,v2,Lima,5,Normal,130.3,0,4.0
T500355,Recarga celular,v2,Trujillo,12,Normal,48.3,0,4.0
T500356,Consulta de saldo,v1,Trujillo,12,Normal,91.5,0,5.0
T500357,Consulta de saldo,v1,Trujillo,17,Normal,84.9,0,4.0
T500358,Recarga celular,v1,Lima,5,Normal,231.5,0,4.0
T500359,Consulta de saldo,v1,Arequipa,12,Normal,101.0,0,4.0
T500360,Transferencia,v2,Lima,22,Normal,119.2,0,4.0
T500361,Transferencia,v2,Lima,12,Normal,269.4,0,5.0
T500362,Pago de servicios,v2,Trujillo,6,Normal,516.2,0,4.0
T500363,Transferencia,v2,Arequipa,1,Normal,232.6,0,4.0
T500364,Transferencia,v2,Trujillo,22,Normal,371.0,0,4.0
T500365,Transferencia,v1,Trujillo,22,Normal,579.3,0,4.0
T500366,Recarga celular,v1,Lima,22,Normal,225.4,0,5.0
T500367,Consulta de saldo,v1,Arequipa,0,Normal,97.3,0,4.0
T500368,Consulta de saldo,v1,Trujillo,4,Normal,70.3,0,5.0
T500369,Pago QR,v2,Lima,5,Normal,121.2,0,4.0
T500370,Pago de servicios,v1,Lima,10,Pico,520.7,0,4.0
T500371,Pago QR,v2,Arequipa,1,Normal,130.8,0,4.0
T500372,Recarga celular,v1,Lima,1,Normal,186.9,0,4.0
T500373,Pago de servicios,v1,Lima,2,Normal,146.5,0,3.0
T500374,Pago QR,v1,Lima,19,Pico,358.3,0,4.0
T500375,Recarga celular,v2,Lima,23,Normal,100.3,0,5.0
T500376,Pago QR,v2,Arequipa,19,Pico,263.8,0,5.0
T500377,Pago QR,v1,Lima,14,Normal,89.6,0,4.0
T500378,Recarga celular,v2,Arequipa,17,Normal,423.1,0,3.0
T500379,Transferencia,v2,Trujillo,16,Normal,406.1,0,3.0
T500380,Consulta de saldo,v1,Trujillo,3,Normal,84.1,0,4.0
T500381,Pago QR,v2,Arequipa,7,Normal,209.9,0,5.0
T500382,Pago QR,v1,Arequipa,17,Normal,165.1,0,5.0
T500383,Pago QR,v2,Arequipa,16,Normal,115.9,0,4.0
T500384,Recarga celular,v1,Arequipa,9,Pico,235.6,0,4.0
T500385,Transferencia,v1,Lima,8,Pico,137.8,0,5.0
T500386,Pago QR,v1,Lima,12,Normal,286.2,0,4.0
T500387,Transferencia,v2,Lima,20,Pico,313.7,0,5.0
T500388,Pago de servicios,v1,Lima,8,Pico,376.1,0,4.0
T500389,Transferencia,v1,Lima,18,Pico,229.2,0,5.0
T500390,Consulta de saldo,v1,Trujillo,18,Pico,232.5,0,5.0
T500391,Pago QR,v2,Lima,8,Pico,408.1,0,4.0
T500392,Transferencia,v1,Arequipa,17,Normal,299.2,1,3.0
T500393,Pago QR,v1,Lima,15,Normal,155.1,0,4.0
T500394,Recarga celular,v1,Lima,0,Normal,114.2,0,5.0
T500395,Transferencia,v1,Trujillo,17,Normal,284.5,0,4.0
T500396,Transferencia,v2,Lima,13,Normal,112.5,0,5.0
